FMPs,Species,Stock,Assessment Type,Assessment model,Reference point Estimation Approach,Reference point Estimation Method,Recruitment Assumption,"Stock Status (known, unknown)",Biomass Target (SSBMSY) ,Fishing Mortality Threshold (FMSY),MSY,Frebuild,Bcurrent/BMSY,Fcurrent/FMSY,Freq overfished status since 2010,Rebuilding Plan ?,ABC Control Rule,OFL,ABC,Overfished Threshold ,Truncated recruitment timeseries for ABC projections,Comments
Atlantic Sea Scallop,Atlantic Sea Scallop (Placopecten magellanicus),Atlantic Sea Scallop Unit Stock (sep Northern Gulf of Maine management area),Analytical,CASA (catch-at-size-assessment),Analytical,Stochastic Yield Model (SYM),Beverton-Holt,Known,BMSY,FMSY ,MSY,NA,143%,56%,,No,P*,,FABC defined as the 75% probability of remaining below the true FMSY. ,0.5BMSY,,
Atlantic herring,Atlantic herring (Clupea harengus),Atlantic Herring Unit Stock (4 management areas),Analytical,ASAP,Analytical,SSB per recruit ,Autoregressive long-term average; Recruitment stanza used to define BRPs was 1992-2019,Known,SSBF40%,F40%,proxy,,21%,31%,2021-present,Yes (2026),"Biomass Based: When biomass is greater than 0.5 for the ratio of SSB/SSBMSY, the maximum fishing mortality allowed is 80% of FMSY. As biomass declines, fishing mortality declines linearly, and if biomass falls below 0.1 for the ratio of SSB/SSBMSY, then ABC is set to zero, no fishery allocation.",FMSY,,0.5 SSBMSY,,"The rebuilding plan used the full time series of recruitments when defining reference points and proejctions, which makes them more optimistic than the shortened time frame of recruitments and the AR(1) process applied in 2022 assessment. more optimistic (25% chance of rebuilding in 2025) than those done during this assessment."
Monkfish,Monkfish (Lophius americanus),Northern monkfish,Empirical,Ismooth,None,None,None,Unknown,None,Avg expl. rate 1996-2006 (North),None,NA,Unknown,Unknown,,No,Ismooth: BCURRENT x Avg expl. rate,Unknown,"ABC advice is based on applying the ISmooth multipliers to the most recent 3-year average catch to calculate the Annual Catch Targets (ACT) for the Northern and Southern management areas, the ACT is increased by the management uncertainty buffer (3% for monkfish) to calculate ABCs.",,,
Monkfish,Monkfish (Lophius americanus),Southern monkfish,Empirical,Ismooth,None,None,None,Unknown,None,Avg expl. rate 2000-2006 (South),None,NA,Unknown,Unknown,,No,Ismooth: BCURRENT x Avg expl. rate,Unknown,"ABC advice is based on applying the ISmooth multipliers to the most recent 3-year average catch to calculate the Annual Catch Targets (ACT) for the Northern and Southern management areas, the ACT is increased by the management uncertainty buffer (3% for monkfish) to calculate ABCs.",,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Eastern Gulf of Maine cod,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,"Groundfish ABC Control Rules: (A) 75%FMY; (B) If 75%FMSY does not achieve mandated rebuilding for overfished stocks, Frebuild; (C) If cannot rebuild even under F=0, ABC should be based on incidental bycatch; (D) interim ABCs for stocks with unknown status on case-bycase basis",,TBD,,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Western Gulf of Maine cod,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,,,TBD,,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Southern New England cod,Analytical,WHAM,Analytical,SSB per recruit ,Beverton-Holt,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,,,TBD,,,
Northeast Multispecies,Atlantic cod (Gadus morhua),Georges Bank cod,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,TBD,TBD,,NA,,,TBD,,,
Northeast Multispecies,Haddock (Melanogrammus aeglefinus),Gulf of Maine haddock,Analytical,ASAP,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,66%,55%,,No,,FMSY,90%FMSY (due to emergency action); typically 75%FMSY ,0.5 SSBMSY,,
Northeast Multispecies,Haddock (Melanogrammus aeglefinus),Georges Bank haddock,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,270%,111%,,No,,FMSY,Option A: 75%FMSY,0.5 SSBMSY,,
Northeast Multispecies,Yellowtail flounder (Limanda ferruginea),Georges Bank yellowtail flounder,Empirical,Limiter ,None,None,None,Unknown (NOAA fisheries determined overfished and not overfishing),None,None,None,,Unknown,Unknown,,Yes (2032),,Unknown,Option D ABC control rule; Limiter approach (FY24-25: 168 mt),Lower limit of limiter: 1000 mt,,
Northeast Multispecies,Yellowtail flounder (Limanda ferruginea),Southern New England/Mid-Atlantic yellowtail flounder,Analytical,ASAP,Analytical,SSB per recruit ,Recent average,Known,SSBF40%,F40%,proxy,,4%,23%,,Yes,,FMSY,Option A:  75%FMSY,0.5 SSBMSY,,
Northeast Multispecies,Yellowtail flounder (Limanda ferruginea),Cape Cod/Gulf of Maine yellowtail flounder,Analytical,VPA,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,100%,32%,,No (rebuilt in 2022),,FMSY,Option B:  70%FMSY (Frebuild),0.5 SSBMSY,,
Northeast Multispecies,Winter flounder (Pseudopleuronectes americanus),Georges Bank winter flounder,Analytical,VPA,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,70%Fmsy,60%,17%,,Yes (2029),,FMSY,Option B:  70%FMSY (Frebuild),0.5 SSBMSY,,
Northeast Multispecies,Winter flounder (Pseudopleuronectes americanus),Gulf of Maine winter flounder,Empirical,Swept area biomass,Empirical,Length based yield per recruit,None,Known (overfishing status only),None,E40% exploitation rate proxy,None,NA,Unknown,14%,,No,,EMSY,Option A: 75% of E40%(75% EMSY proxy) using the terminal year fall area-swept estimate,None,,
Northeast Multispecies,Winter flounder (Pseudopleuronectes americanus),Southern New England/Mid-Atlantic winter flounder,Analytical,ASAP,Analytical,SSB per recruit ,recent average,Known,SSBF40%,F40%,proxy,NA,101%,23%,,No (rebuilt as of 2023),,FMSY,Option A: 75%FMSY (50% FMsy),0.5 SSBMSY,,
Northeast Multispecies,Windowpane flounder (Scophthalmus aquosus),Northern windowpane flounder,Empirical,Swept area biomass,"None (stock status), Empirical (management)",None,None,Unknown (NOAA fisheries determined overfished and not overfishing),None,None,None,70%Fmsy,Unknown,Unknown,,Yes (2029),,Unknown,"Option D: ABC recommendation was based on use of a 2010-2022 reference period for exploitation (no-possession years) applied to recent biomass estimate (imputied the missing 2020 survey data).
",,,Fmsy proxy was based on average exploitation rate during no possession years (to current)
Northeast Multispecies,Windowpane flounder (Scophthalmus aquosus),Southern windowpane flounder,Empirical,AIM,Empirical,Empirical,None,Known,SSBMSY proxy is derived from reference period (1995-2001),FMSY proxy is derived from reference period (1995-2001),proxy,NA,170%,61%,,No (rebuilt as of 2012),,FMSY ,"Option A: ABC = 75%OFL; OFLs and ABCs determined by applying the updated FMSY proxy to the terminal year biomass index and applying a constant catch approach for three years.  Reference period for defining the FMSY proxy (1995-2001) is based on response of the stock to a reduced fishing mortality during this period, indicating that changes in the fishing mortality rate were influencing the stock. 
",,,Note:empirical approach for an OFL recommendation
Northeast Multispecies,Acadian redfish (Sebastes fasciatus),Acadian redfish Unit Stock,Analytical,ASAP,Analytical,SSB per recruit ,Long-term average,Known,SSBF50%,F50%,proxy,NA,167%,35%,,No (rebuilt as of 2012),,FMSY,Option A: 75%FMSY,0.5 SSBMSY,,
Northeast Multispecies,White hake (Urophycis tenuis),White hake Unit,Analytical,ASAP,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,,69%,65%,,Yes (2031),,FMSY,Option A: 75%FMSY,0.5 SSBMSY,,
Northeast Multispecies,Witch flounder (Glyptocephalus cynoglossus),Witch flounder Unit Stock,Empirical,Swept area biomass,"None (stock status), Empirical (management)",None,None,"Unknown (Stock is qualitatively considered overfished, with unknown overfishing status. )
",None,None,None,,Unknown,Unknown,,Yes (2043),,Unknown,Option D: ABC is based on recent 3-year average swept-area biomass from NEFSC survey (spring & fall) and fixed harvest fraction (2007-2015).,None,,
Northeast Multispecies,American plaice (Hippoglossoides platessoides),American Plaice Unit Stock,Analytical,WHAM,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,99%,11%,,No,,FMSY,Option A:  75%FMSY,0.5 SSBMSY,,
Northeast Multispecies,Pollock (Pollachius virens),Pollock Unit Stock,Analytical,ASAP,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,NA,191 and 150%,22 and 39%,,No,,FMSY,Option A:  75%FMSY,0.5 SSBMSY,,
Northeast Multispecies,Ocean pout (Macrozoarces americanus),Ocean Pout Unit Stock,Empirical,"Index-based (survey biomass, exploitation ratio)",Empirical,Empirical,None,Known,median 3-year moving average of NEFSC spring survey biomass index,median exploitation ratio during 1977-1985,proxy,,5%,31%,,Yes (2029),,FMSY,Option D: ABC based on previous years catch advice held constant over three years,0.5 SSBMSY,,
Northeast Multispecies,Atlantic halibut (Hippoglossus hippoglossus),Atlantic halibut Unit Stock,Empirical,"1st , 2nd derivative",None,None,None,Unknown (NOAA fisheries determined overfished and not overfishing),None,None,None,Undefined,Unknown,Unknown,,Yes (2056),,Unknown,Option D: ABC = Previous year catch X  catch multiplier,,,
Northeast Multispecies,Atlantic wolffish (Anarhichas lupus),Atlantic wolffish Unit Stock,Analytical,SCALE,Analytical,SSB per recruit ,Long-term average,Known,SSBF40%,F40%,proxy,,46%,2%,Overfished since...,Yes (undefined end date),,FMSY,Option A: 75%FMSY (constant catch),0.5 SSBMSY,,
Red Crab,Red crab (Chaceon quinquedens),Red crab Unit Stock,Empirical,Index-based (LPUE),"None (stock status), Empirical (management)",None,None,Unknown,None,"Long-term average catch 
",None,NA,Unknown,Unknown,Unknown,No,"ABC is based on long-term average catch with  decreases informed by monitoring of the LPUE (if LPUE were to drop 15% below the lowest LPUE in the time series, the ABC should be reconsidered) 
",Unknown,Constant catch (2000 mt),None,,Criteria exist to decrease ABC but not defined  to increase
Skate Complex,Barndoor skate (Dipturis laevis),Skate Complex Unit Stock,Empirical,Index-based (survey biomass),Empirical,Empirical,None,Known,average of its index,,,,107%,,,No,Biomass Based,Unknown,ABC calculation =Median C/B by species*most recent 3-year moving average of the survey,0.5BMSY proxy,,
Skate Complex,Clearnose skate (Raja eglanteria),,,,,,,,BMSYproxy (also the Btarget) is the 75th percentile of the survey biomass index,Overfishing definitions establish fishing mortality thresholds for all seven skate species based on a percentage decline in the NEFSC trawl survey.,proxy,NA,81%,,,No,,,,,,
Skate Complex,Little skate (Leucoraja erinacea),,,,,,,,,,proxy,NA,58%,,,No,,,,,,
Skate Complex,Rosette skate (Leucoraja garmani) ,,,,,,,,,,proxy,NA,108%,,,No,,,,,,
Skate Complex,Smooth skate (Malacoraja senta),,,,,,,,,,proxy,NA,67%,,,No,,,,,,
Skate Complex,Thorny skate (Amblyraja radiata),,,,,,,,,,proxy,,3%,,,Yes (2028),,,,,,
Skate Complex,Winter skate (Leucoraja ocellata),,,,,,,,,,proxy,NA,112%,,,No,,,,,,
Small mesh Multispecies,silver hake/whiting (Merluccius bilinearis),Northern silver hake (Gulf of Maine/Northern Georges Bank stock),Empirical,"Index-based (survey biomass, exploitation ratio)",Empirical,Empirical; Average exploitation reference period (1973-1982) applied to recent biomass estimate; based on period of stability in the survey trends that coincides with a steep change in the relative exploitation rates in the fishery,None,Known,SSBmsy proxy (average index from 1973-1982),Fmsy proxy (average exploitation rate from 1973-1982),proxy,NA,446%,4%,,No,P*,OFL derived by applying the FMSY proxy (avg. exploitation rate 1973-1982) to the recent 3-year avg. survey biomass. ,ABC was determined as the 25th percentile of the OFL distribution.,0.5 SSBMSY,NA,
Small mesh Multispecies,silver hake/whiting (Merluccius bilinearis),Southern silver hake (Georges Bank/Mid-Atlantic stock),Empirical,"Index-based (survey biomass, exploitation ratio)",Empirical,Empirical,None,Known,SSBmsy proxy (average index from 1973-1982),Fmsy proxy (average exploitation rate from 1973-1982),proxy,NA,63%,11%,,No,P*,OFL derived by applying the FMSY proxy (avg. exploitation rate 1973-1982) to the recent 3-year avg. survey biomass. ,ABC was determined as the 25th percentile of the OFL distribution.,0.5 SSBMSY,NA,
Small mesh Multispecies,red hake (Urophycis chuss),Northern red hake,Empirical,Swept area biomass,"None (stock status), Empirical (management)",Exploitation rate reference period: 1981-1994 applied to recent biomass estimate;; period of which the stock seemed to be sustainable and responsive to fisheries management action,None,Unknown,None,Fmsy proxy (average exploitation rate from YEARS),None,NA,Unknown,Unknown,,No,P*,Unknown,ABC based on applying the average exploitation rate from the 1981-1994 reference period to the efficiency-adjusted swept-area biomass estimates,,NA,
Small mesh Multispecies,red hake (Urophycis chuss),Southern red hake,Empirical,Swept area biomass,"None (stock status), Empirical (management)","Exploitation rate (2001-2019) applied to recent biomass estimate;; period reflects lower exploitation, contemporary conditions, and low stock productivity. ",None,Unknown,None,Fmsy proxy (average exploitation rate from YEARS),None,,Unknown,Unknown,,Yes,P*,Unknown,ABC based on applying the average exploitation rate from the 2001-2019  reference period to the efficiency-adjusted swept-area biomass estimates,,NA,
